Source,Target
3,12
3,42
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,70
3,74
3,74
3,74
3,74
3,84
3,84
3,121
3,121
3,121
3,145
3,145
3,145
3,145
3,145
3,145
3,145
3,147
3,147
3,147
3,147
3,148
3,162
3,164
3,164
3,165
3,165
3,167
3,167
3,191
3,191
3,191
3,203
3,207
3,207
3,207
3,207
3,207
3,207
3,207
3,207
3,207
3,207
3,231
3,231
3,231
3,240
3,240
3,248
3,248
3,254
3,263
3,266
3,266
10,42
10,42
10,42
10,42
10,42
10,42
10,97
10,145
10,165
10,165
10,165
10,167
10,167
10,263
12,3
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,70
12,74
12,74
12,145
17,30
17,30
17,42
17,42
17,70
17,70
17,70
17,70
17,70
17,70
17,70
17,70
17,70
17,70
17,70
17,70
17,70
17,74
17,74
17,74
17,84
17,84
17,84
17,84
17,97
17,121
17,121
17,121
17,121
17,121
17,121
17,121
17,123
17,145
17,145
17,145
17,147
17,147
17,148
17,148
17,162
17,165
17,167
17,167
17,191
17,206
17,207
17,207
17,207
17,207
17,231
17,231
17,263
21,30
21,42
21,42
21,42
21,42
21,42
21,42
21,42
21,145
21,165
21,165
21,165
21,167
21,167
21,167
21,263
21,263
26,30
26,30
26,42
26,42
26,42
26,70
26,70
26,70
26,121
26,121
26,139
26,145
26,165
26,165
26,165
26,167
26,167
26,187
26,187
26,187
26,207
26,239
26,239
26,254
26,263
26,263
26,263
30,17
30,17
30,21
30,26
30,26
30,42
30,42
30,42
30,42
30,42
30,42
30,42
30,55
30,55
30,58
30,58
30,74
30,74
30,74
30,80
30,80
30,97
30,97
30,121
30,121
30,121
30,121
30,139
30,139
30,139
30,145
30,145
30,145
30,147
30,147
30,147
30,164
30,164
30,164
30,165
30,165
30,165
30,165
30,167
30,167
30,167
30,167
30,167
30,167
30,167
30,167
30,187
30,187
30,187
30,191
30,196
30,198
30,206
30,206
30,207
30,207
30,216
30,221
30,221
30,221
30,221
30,221
30,231
30,231
30,232
30,232
30,240
30,263
30,263
30,263
30,263
30,263
31,104
31,104
31,104
31,145
31,145
31,191
31,191
31,203
31,203
31,203
31,225
31,225
31,225
31,240
31,240
31,240
31,248
31,248
31,248
40,42
40,42
40,42
40,42
40,42
40,42
40,42
40,97
40,145
40,145
40,165
40,165
40,165
40,167
40,167
40,167
40,167
40,207
40,263
40,263
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,145
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,191
41,207
41,207
41,207
41,207
41,207
41,207
41,207
41,207
41,246
41,246
41,246
41,246
41,246
41,246
41,246
41,246
41,246
41,246
41,249
41,249
41,249
41,249
41,249
41,249
41,249
41,249
41,249
41,249
42,3
42,10
42,10
42,10
42,10
42,10
42,10
42,17
42,17
42,21
42,21
42,21
42,21
42,21
42,21
42,21
42,26
42,26
42,26
42,30
42,30
42,30
42,30
42,30
42,30
42,30
42,40
42,40
42,40
42,40
42,40
42,40
42,40
42,55
42,55
42,55
42,55
42,58
42,58
42,58
42,58
42,58
42,74
42,74
42,74
42,74
42,80
42,80
42,80
42,97
42,97
42,97
42,97
42,121
42,121
42,121
42,131
42,131
42,131
42,133
42,133
42,133
42,133
42,133
42,133
42,133
42,138
42,138
42,139
42,139
42,139
42,145
42,145
42,145
42,155
42,164
42,164
42,164
42,165
42,165
42,165
42,165
42,165
42,165
